Step,Time,I,E,Q
198,0,3.3986,3.7786,0
198,0.1,3.3986,3.7786,0.0001
198,0.2,3.3987,3.7798,0.0002
198,0.3,3.399,3.7803,0.0003
198,0.4,3.3992,3.7814,0.0004
198,0.5,3.3993,3.7822,0.0005
198,0.6,3.3994,3.783,0.0006
198,0.7,3.3994,3.7836,0.0007
198,0.8,3.3995,3.7841,0.0008
198,0.9,3.3995,3.7847,0.0008
198,1,3.3996,3.7851,0.0009
198,1.1,3.3996,3.7856,0.001
198,1.2,3.3996,3.786,0.0011
198,1.3,3.3996,3.7863,0.0012
198,1.4,3.3996,3.7867,0.0013
198,1.5,3.3996,3.7871,0.0014
198,1.6,3.3997,3.7875,0.0015
198,1.7,3.3997,3.7877,0.0016
198,1.8,3.3997,3.7881,0.0017
198,1.9,3.3997,3.7884,0.0018
198,2,3.3997,3.7887,0.0019
198,2.1,3.3997,3.789,0.002
198,2.2,3.3997,3.7892,0.0021
198,2.3,3.3997,3.7895,0.0022
198,2.4,3.3997,3.7898,0.0023
198,2.5,3.3997,3.79,0.0024
198,2.6,3.3997,3.7903,0.0025
198,2.7,3.3997,3.7906,0.0025
198,2.8,3.3998,3.7908,0.0026
198,2.9,3.3998,3.7911,0.0027
198,3,3.3998,3.7913,0.0028
198,3.1,3.3998,3.7915,0.0029
198,3.2,3.3998,3.7917,0.003
198,3.3,3.3998,3.7919,0.0031
198,3.4,3.3998,3.7922,0.0032
198,3.5,3.3998,3.7924,0.0033
198,3.6,3.3998,3.7926,0.0034
198,3.7,3.3998,3.7928,0.0035
198,3.8,3.3998,3.793,0.0036
198,3.9,3.3998,3.7932,0.0037
198,4,3.3998,3.7934,0.0038
198,4.1,3.3998,3.7936,0.0039
198,4.2,3.3998,3.7938,0.004
198,4.3,3.3998,3.794,0.0041
198,4.4,3.3998,3.7942,0.0042
198,4.5,3.3998,3.7943,0.0042
198,4.6,3.3998,3.7945,0.0043
198,4.7,3.3998,3.7947,0.0044
198,4.8,3.3998,3.7949,0.0045
198,4.9,3.3998,3.7951,0.0046
198,5,3.3998,3.7952,0.0047
198,5.1,3.3998,3.7954,0.0048
198,5.2,3.3998,3.7956,0.0049
198,5.3,3.3998,3.7957,0.005
198,5.4,3.3998,3.7959,0.0051
198,5.5,3.3998,3.7961,0.0052
198,5.6,3.3998,3.7962,0.0053
198,5.7,3.3998,3.7964,0.0054
198,5.8,3.3998,3.7965,0.0055
198,5.9,3.3998,3.7967,0.0056
198,6,3.3998,3.7969,0.0057
198,6.1,3.3998,3.7971,0.0058
198,6.2,3.3998,3.7972,0.0059
198,6.3,3.3998,3.7974,0.0059
198,6.4,3.3998,3.7975,0.006
198,6.5,3.3998,3.7977,0.0061
198,6.6,3.3998,3.7978,0.0062
198,6.7,3.3998,3.798,0.0063
198,6.8,3.3998,3.7981,0.0064
198,6.9,3.3998,3.7983,0.0065
198,7,3.3998,3.7984,0.0066
198,7.1,3.3998,3.7985,0.0067
198,7.2,3.3998,3.7987,0.0068
198,7.3,3.3998,3.7988,0.0069
198,7.4,3.3998,3.7989,0.007
198,7.5,3.3998,3.7991,0.0071
198,7.6,3.3998,3.7992,0.0072
198,7.7,3.3998,3.7994,0.0073
198,7.8,3.3998,3.7995,0.0074
198,7.9,3.3998,3.7996,0.0075
198,8,3.3998,3.7998,0.0076
198,8.1,3.3998,3.7999,0.0076
198,8.2,3.3998,3.8,0.0077
198,8.3,3.3998,3.8001,0.0078
198,8.4,3.3998,3.8003,0.0079
198,8.5,3.3998,3.8004,0.008
198,8.6,3.3998,3.8005,0.0081
198,8.7,3.3998,3.8007,0.0082
198,8.8,3.3998,3.8008,0.0083
198,8.9,3.3998,3.8009,0.0084
198,9,3.3998,3.8011,0.0085
198,9.1,3.3998,3.8012,0.0086
198,9.2,3.3998,3.8013,0.0087
198,9.3,3.3998,3.8014,0.0088
198,9.4,3.3998,3.8015,0.0089
198,9.5,3.3998,3.8017,0.009
198,9.6,3.3998,3.8018,0.0091
198,9.7,3.3998,3.8019,0.0092
198,9.8,3.3998,3.802,0.0093
198,9.9,3.3998,3.8022,0.0093
198,10,3.3998,3.8023,0.0094
198,10.1,3.3998,3.8024,0.0095
198,10.2,3.3998,3.8025,0.0096
198,10.3,3.3998,3.8026,0.0097
198,10.4,3.3998,3.8027,0.0098
198,10.5,3.3998,3.8028,0.0099
198,10.6,3.3998,3.803,0.01
198,10.7,3.3998,3.8031,0.0101
198,10.8,3.3998,3.8033,0.0102
198,10.9,3.3998,3.8034,0.0103
198,11,3.3998,3.8035,0.0104
198,11.1,3.3998,3.8036,0.0105
198,11.2,3.3998,3.8037,0.0106
198,11.3,3.3998,3.8038,0.0107
198,11.4,3.3998,3.8039,0.0108
198,11.5,3.3998,3.8041,0.0109
198,11.6,3.3998,3.8042,0.011
198,11.7,3.3998,3.8042,0.011
198,11.8,3.3998,3.8044,0.0111
198,11.9,3.3998,3.8045,0.0112
198,12,3.3998,3.8046,0.0113
198,12.1,3.3998,3.8047,0.0114
198,12.2,3.3998,3.8048,0.0115
198,12.3,3.3998,3.8049,0.0116
198,12.4,3.3998,3.8051,0.0117
198,12.5,3.3998,3.8052,0.0118
198,12.6,3.3998,3.8053,0.0119
198,12.7,3.3998,3.8054,0.012
198,12.8,3.3998,3.8055,0.0121
198,12.9,3.3998,3.8055,0.0122
198,13,3.3998,3.8057,0.0123
198,13.1,3.3998,3.8058,0.0124
198,13.2,3.3998,3.8059,0.0125
198,13.3,3.3998,3.806,0.0126
198,13.4,3.3998,3.8061,0.0127
198,13.5,3.3998,3.8062,0.0127
