Step,Time,I,E,Q
130,0,3.3978,3.8057,0
130,0.1,3.3978,3.8057,0.0001
130,0.2,3.398,3.8071,0.0002
130,0.3,3.3986,3.8077,0.0003
130,0.4,3.3989,3.8088,0.0004
130,0.5,3.3991,3.8098,0.0005
130,0.6,3.3992,3.8105,0.0006
130,0.7,3.3993,3.8112,0.0007
130,0.8,3.3994,3.8117,0.0008
130,0.9,3.3994,3.8122,0.0008
130,1,3.3995,3.8127,0.0009
130,1.1,3.3995,3.8132,0.001
130,1.2,3.3995,3.8136,0.0011
130,1.3,3.3995,3.814,0.0012
130,1.4,3.3996,3.8143,0.0013
130,1.5,3.3996,3.8147,0.0014
130,1.6,3.3996,3.8151,0.0015
130,1.7,3.3996,3.8154,0.0016
130,1.8,3.3996,3.8156,0.0017
130,1.9,3.3996,3.816,0.0018
130,2,3.3996,3.8163,0.0019
130,2.1,3.3997,3.8167,0.002
130,2.2,3.3997,3.8169,0.0021
130,2.3,3.3997,3.8172,0.0022
130,2.4,3.3997,3.8175,0.0023
130,2.5,3.3997,3.8178,0.0024
130,2.6,3.3997,3.818,0.0025
130,2.7,3.3997,3.8183,0.0025
130,2.8,3.3997,3.8185,0.0026
130,2.9,3.3997,3.8188,0.0027
130,3,3.3997,3.819,0.0028
130,3.1,3.3997,3.8193,0.0029
130,3.2,3.3997,3.8195,0.003
130,3.3,3.3998,3.8198,0.0031
130,3.4,3.3998,3.82,0.0032
130,3.5,3.3998,3.8202,0.0033
130,3.6,3.3998,3.8205,0.0034
130,3.7,3.3998,3.8207,0.0035
130,3.8,3.3998,3.8209,0.0036
130,3.9,3.3998,3.8211,0.0037
130,4,3.3998,3.8213,0.0038
130,4.1,3.3998,3.8215,0.0039
130,4.2,3.3998,3.8217,0.004
130,4.3,3.3998,3.8219,0.0041
130,4.4,3.3998,3.8221,0.0042
130,4.5,3.3998,3.8223,0.0042
130,4.6,3.3998,3.8225,0.0043
130,4.7,3.3998,3.8227,0.0044
130,4.8,3.3998,3.8229,0.0045
130,4.9,3.3998,3.8231,0.0046
130,5,3.3998,3.8233,0.0047
130,5.1,3.3998,3.8235,0.0048
130,5.2,3.3998,3.8237,0.0049
130,5.3,3.3998,3.8238,0.005
130,5.4,3.3998,3.824,0.0051
130,5.5,3.3998,3.8242,0.0052
130,5.6,3.3998,3.8244,0.0053
130,5.7,3.3998,3.8246,0.0054
130,5.8,3.3998,3.8247,0.0055
130,5.9,3.3998,3.8249,0.0056
130,6,3.3998,3.8251,0.0057
130,6.1,3.3998,3.8252,0.0058
130,6.2,3.3998,3.8254,0.0059
130,6.3,3.3998,3.8256,0.0059
130,6.4,3.3998,3.8257,0.006
130,6.5,3.3998,3.8259,0.0061
130,6.6,3.3998,3.826,0.0062
130,6.7,3.3998,3.8262,0.0063
130,6.8,3.3998,3.8264,0.0064
130,6.9,3.3998,3.8265,0.0065
130,7,3.3998,3.8267,0.0066
130,7.1,3.3998,3.8268,0.0067
130,7.2,3.3998,3.827,0.0068
