Step,Time,I,E,Q
71,0,-10.1964,3.4121,0
71,0.1,-10.1964,3.4121,0.0003
71,0.2,-10.1967,3.4095,0.0006
71,0.3,-10.1975,3.4077,0.0008
71,0.4,-10.198,3.4041,0.0011
71,0.5,-10.1983,3.4014,0.0014
71,0.6,-10.1985,3.3993,0.0017
71,0.7,-10.1986,3.3974,0.002
71,0.8,-10.1987,3.3958,0.0023
71,0.9,-10.1988,3.3943,0.0025
71,1,-10.1989,3.393,0.0028
71,1.1,-10.1989,3.3918,0.0031
71,1.2,-10.199,3.3906,0.0034
71,1.3,-10.199,3.3895,0.0037
71,1.4,-10.1991,3.3884,0.004
71,1.5,-10.1991,3.3874,0.0042
71,1.6,-10.1991,3.3865,0.0045
71,1.7,-10.1991,3.3856,0.0048
71,1.8,-10.1992,3.3847,0.0051
71,1.9,-10.1992,3.3839,0.0054
71,2,-10.1992,3.383,0.0057
71,2.1,-10.1992,3.3822,0.0059
71,2.2,-10.1992,3.3814,0.0062
71,2.3,-10.1992,3.3807,0.0065
71,2.4,-10.1993,3.38,0.0068
71,2.5,-10.1993,3.3792,0.0071
71,2.6,-10.1993,3.3785,0.0074
71,2.7,-10.1993,3.3778,0.0076
71,2.8,-10.1993,3.3771,0.0079
71,2.9,-10.1993,3.3764,0.0082
71,3,-10.1993,3.3758,0.0085
71,3.1,-10.1993,3.3751,0.0088
71,3.2,-10.1994,3.3745,0.0091
71,3.3,-10.1994,3.3739,0.0093
71,3.4,-10.1994,3.3732,0.0096
71,3.5,-10.1994,3.3727,0.0099
71,3.6,-10.1994,3.3721,0.0102
71,3.7,-10.1994,3.3715,0.0105
71,3.8,-10.1994,3.371,0.0108
71,3.9,-10.1994,3.3703,0.011
71,4,-10.1994,3.3698,0.0113
71,4.1,-10.1994,3.3692,0.0116
71,4.2,-10.1994,3.3687,0.0119
71,4.3,-10.1994,3.3681,0.0122
71,4.4,-10.1994,3.3675,0.0125
71,4.5,-10.1994,3.367,0.0127
71,4.6,-10.1994,3.3664,0.013
71,4.7,-10.1994,3.3659,0.0133
71,4.8,-10.1994,3.3654,0.0136
71,4.9,-10.1994,3.3649,0.0139
71,5,-10.1994,3.3644,0.0142
71,5.1,-10.1994,3.3639,0.0144
71,5.2,-10.1994,3.3634,0.0147
71,5.3,-10.1994,3.3629,0.015
71,5.4,-10.1994,3.3624,0.0153
71,5.5,-10.1994,3.3619,0.0156
71,5.6,-10.1994,3.3615,0.0159
71,5.7,-10.1994,3.361,0.0161
71,5.8,-10.1994,3.3605,0.0164
71,5.9,-10.1994,3.36,0.0167
71,6,-10.1994,3.3595,0.017
71,6.1,-10.1994,3.359,0.0173
71,6.2,-10.1994,3.3586,0.0176
71,6.3,-10.1994,3.3581,0.0178
71,6.4,-10.1994,3.3577,0.0181
71,6.5,-10.1994,3.3572,0.0184
71,6.6,-10.1994,3.3568,0.0187
71,6.7,-10.1994,3.3563,0.019
71,6.8,-10.1994,3.3559,0.0193
71,6.9,-10.1994,3.3555,0.0195
71,7,-10.1994,3.355,0.0198
71,7.1,-10.1994,3.3546,0.0201
71,7.2,-10.1994,3.3541,0.0204
71,7.3,-10.1994,3.3537,0.0207
71,7.4,-10.1994,3.3533,0.021
71,7.5,-10.1994,3.3529,0.0212
71,7.6,-10.1994,3.3524,0.0215
71,7.7,-10.1994,3.352,0.0218
71,7.8,-10.1994,3.3516,0.0221
71,7.9,-10.1994,3.3512,0.0224
71,8,-10.1994,3.3507,0.0227
71,8.1,-10.1994,3.3503,0.0229
71,8.2,-10.1994,3.3499,0.0232
71,8.3,-10.1994,3.3495,0.0235
71,8.4,-10.1994,3.3491,0.0238
71,8.5,-10.1994,3.3487,0.0241
71,8.6,-10.1994,3.3483,0.0244
71,8.7,-10.1994,3.3478,0.0246
71,8.8,-10.1994,3.3475,0.0249
71,8.9,-10.1994,3.3471,0.0252
71,9,-10.1994,3.3467,0.0255
72,9.001,0,3.6941,0
72,9.1,0,3.6941,0
72,9.2,0,3.696,0
72,9.3,0,3.6981,0
72,9.4,0,3.7008,0
72,9.5,0,3.7029,0
72,9.6,0,3.7045,0
72,9.7,0,3.7058,0
72,9.8,0,3.707,0
72,9.9,0,3.708,0
72,10,0,3.7089,0
72,10.1,0,3.7097,0
72,10.2,0,3.7104,0
72,10.3,0,3.7111,0
72,10.4,0,3.7117,0
72,10.5,0,3.7123,0
72,10.6,0,3.7129,0
72,10.7,0,3.7134,0
72,10.8,0,3.7139,0
72,10.9,0,3.7143,0
72,11,0,3.7148,0
72,11.1,0,3.7152,0
72,11.2,0,3.7156,0
72,11.3,0,3.716,0
72,11.4,0,3.7163,0
