Step,Time,I,E,Q
189,0,-3.3979,3.5463,0
189,0.1,-3.3979,3.5463,0.0001
189,0.2,-3.3981,3.5448,0.0002
189,0.3,-3.3985,3.5445,0.0003
189,0.4,-3.3988,3.5432,0.0004
189,0.5,-3.399,3.5423,0.0005
189,0.6,-3.3991,3.5415,0.0006
189,0.7,-3.3992,3.5409,0.0007
189,0.8,-3.3992,3.5403,0.0008
189,0.9,-3.3993,3.5398,0.0008
189,1,-3.3993,3.5393,0.0009
189,1.1,-3.3993,3.5389,0.001
189,1.2,-3.3994,3.5384,0.0011
189,1.3,-3.3994,3.5381,0.0012
189,1.4,-3.3994,3.5377,0.0013
189,1.5,-3.3994,3.5373,0.0014
189,1.6,-3.3994,3.537,0.0015
189,1.7,-3.3994,3.5367,0.0016
189,1.8,-3.3994,3.5364,0.0017
189,1.9,-3.3995,3.5361,0.0018
189,2,-3.3995,3.5358,0.0019
189,2.1,-3.3995,3.5355,0.002
189,2.2,-3.3995,3.5353,0.0021
189,2.3,-3.3995,3.535,0.0022
189,2.4,-3.3995,3.5347,0.0023
189,2.5,-3.3995,3.5345,0.0024
189,2.6,-3.3995,3.5342,0.0025
189,2.7,-3.3995,3.534,0.0025
189,2.8,-3.3995,3.5337,0.0026
189,2.9,-3.3995,3.5336,0.0027
189,3,-3.3995,3.5333,0.0028
189,3.1,-3.3995,3.5331,0.0029
189,3.2,-3.3995,3.5329,0.003
189,3.3,-3.3995,3.5327,0.0031
189,3.4,-3.3995,3.5324,0.0032
189,3.5,-3.3995,3.5322,0.0033
189,3.6,-3.3996,3.532,0.0034
189,3.7,-3.3996,3.5318,0.0035
189,3.8,-3.3996,3.5316,0.0036
189,3.9,-3.3996,3.5314,0.0037
189,4,-3.3996,3.5312,0.0038
189,4.1,-3.3996,3.531,0.0039
189,4.2,-3.3996,3.5308,0.004
189,4.3,-3.3996,3.5306,0.0041
189,4.4,-3.3996,3.5304,0.0042
189,4.5,-3.3996,3.5302,0.0042
189,4.6,-3.3996,3.53,0.0043
189,4.7,-3.3996,3.5299,0.0044
189,4.8,-3.3996,3.5297,0.0045
189,4.9,-3.3996,3.5295,0.0046
189,5,-3.3996,3.5294,0.0047
189,5.1,-3.3996,3.5291,0.0048
189,5.2,-3.3996,3.529,0.0049
189,5.3,-3.3996,3.5288,0.005
189,5.4,-3.3996,3.5286,0.0051
189,5.5,-3.3996,3.5285,0.0052
189,5.6,-3.3996,3.5283,0.0053
189,5.7,-3.3996,3.5281,0.0054
189,5.8,-3.3996,3.528,0.0055
189,5.9,-3.3996,3.5278,0.0056
189,6,-3.3996,3.5276,0.0057
189,6.1,-3.3996,3.5275,0.0058
189,6.2,-3.3996,3.5273,0.0059
189,6.3,-3.3996,3.5272,0.0059
189,6.4,-3.3996,3.527,0.006
189,6.5,-3.3996,3.5269,0.0061
189,6.6,-3.3996,3.5267,0.0062
189,6.7,-3.3996,3.5265,0.0063
189,6.8,-3.3996,3.5264,0.0064
189,6.9,-3.3996,3.5262,0.0065
189,7,-3.3996,3.5261,0.0066
189,7.1,-3.3996,3.5259,0.0067
189,7.2,-3.3996,3.5258,0.0068
189,7.3,-3.3996,3.5256,0.0069
189,7.4,-3.3996,3.5255,0.007
189,7.5,-3.3996,3.5253,0.0071
189,7.6,-3.3996,3.5252,0.0072
189,7.7,-3.3996,3.5251,0.0073
189,7.8,-3.3996,3.5249,0.0074
189,7.9,-3.3996,3.5248,0.0075
189,8,-3.3996,3.5246,0.0076
189,8.1,-3.3996,3.5245,0.0076
189,8.2,-3.3996,3.5244,0.0077
189,8.3,-3.3996,3.5242,0.0078
189,8.4,-3.3996,3.5241,0.0079
189,8.5,-3.3997,3.5239,0.008
189,8.6,-3.3997,3.5238,0.0081
189,8.7,-3.3997,3.5237,0.0082
189,8.8,-3.3997,3.5235,0.0083
189,8.9,-3.3997,3.5234,0.0084
189,9,-3.3997,3.5233,0.0085
189,9.1,-3.3997,3.5231,0.0086
189,9.2,-3.3997,3.523,0.0087
189,9.3,-3.3997,3.5229,0.0088
189,9.4,-3.3997,3.5227,0.0089
189,9.5,-3.3997,3.5226,0.009
189,9.6,-3.3997,3.5225,0.0091
189,9.7,-3.3997,3.5223,0.0092
189,9.8,-3.3997,3.5222,0.0093
189,9.9,-3.3997,3.5221,0.0093
189,10,-3.3997,3.522,0.0094
189,10.1,-3.3997,3.5218,0.0095
189,10.2,-3.3997,3.5217,0.0096
189,10.3,-3.3997,3.5216,0.0097
189,10.4,-3.3997,3.5214,0.0098
189,10.5,-3.3997,3.5213,0.0099
189,10.6,-3.3997,3.5212,0.01
189,10.7,-3.3997,3.521,0.0101
189,10.8,-3.3997,3.5209,0.0102
189,10.9,-3.3997,3.5208,0.0103
189,11,-3.3997,3.5206,0.0104
189,11.1,-3.3997,3.5206,0.0105
189,11.2,-3.3997,3.5204,0.0106
189,11.3,-3.3997,3.5203,0.0107
189,11.4,-3.3997,3.5202,0.0108
189,11.5,-3.3997,3.52,0.0109
189,11.6,-3.3997,3.52,0.011
189,11.7,-3.3997,3.5198,0.011
189,11.8,-3.3997,3.5197,0.0111
189,11.9,-3.3997,3.5196,0.0112
189,12,-3.3997,3.5195,0.0113
189,12.1,-3.3997,3.5194,0.0114
189,12.2,-3.3997,3.5193,0.0115
189,12.3,-3.3997,3.5191,0.0116
189,12.4,-3.3997,3.519,0.0117
189,12.5,-3.3997,3.5189,0.0118
189,12.6,-3.3997,3.5188,0.0119
189,12.7,-3.3997,3.5187,0.012
189,12.8,-3.3997,3.5186,0.0121
189,12.9,-3.3997,3.5184,0.0122
189,13,-3.3997,3.5183,0.0123
189,13.1,-3.3997,3.5182,0.0124
189,13.2,-3.3997,3.5181,0.0125
189,13.3,-3.3997,3.518,0.0126
189,13.4,-3.3997,3.5179,0.0127
189,13.5,-3.3997,3.5177,0.0127
189,13.6,-3.3997,3.5176,0.0128
189,13.7,-3.3997,3.5175,0.0129
189,13.8,-3.3997,3.5175,0.013
189,13.9,-3.3997,3.5174,0.0131
189,14,-3.3997,3.5172,0.0132
189,14.1,-3.3997,3.5171,0.0133
189,14.2,-3.3997,3.517,0.0134
189,14.3,-3.3997,3.5169,0.0135
189,14.4,-3.3997,3.5168,0.0136
189,14.5,-3.3997,3.5167,0.0137
189,14.6,-3.3997,3.5165,0.0138
189,14.7,-3.3997,3.5165,0.0139
189,14.8,-3.3997,3.5163,0.014
189,14.9,-3.3997,3.5162,0.0141
189,15,-3.3997,3.5161,0.0142
189,15.1,-3.3997,3.516,0.0143
189,15.2,-3.3997,3.5159,0.0144
189,15.3,-3.3997,3.5158,0.0144
189,15.4,-3.3997,3.5157,0.0145
189,15.5,-3.3997,3.5156,0.0146
189,15.6,-3.3997,3.5155,0.0147
189,15.7,-3.3997,3.5154,0.0148
189,15.8,-3.3997,3.5153,0.0149
189,15.9,-3.3997,3.5152,0.015
189,16,-3.3997,3.5151,0.0151
189,16.1,-3.3997,3.515,0.0152
189,16.2,-3.3997,3.5149,0.0153
189,16.3,-3.3997,3.5148,0.0154
189,16.4,-3.3997,3.5147,0.0155
189,16.5,-3.3997,3.5146,0.0156
189,16.6,-3.3997,3.5145,0.0157
189,16.7,-3.3997,3.5144,0.0158
189,16.8,-3.3996,3.5143,0.0159
189,16.9,-3.3996,3.5142,0.016
189,17,-3.3996,3.5141,0.0161
189,17.1,-3.3996,3.514,0.0161
189,17.2,-3.3996,3.5139,0.0162
189,17.3,-3.3996,3.5138,0.0163
189,17.4,-3.3996,3.5137,0.0164
189,17.5,-3.3996,3.5136,0.0165
189,17.6,-3.3996,3.5135,0.0166
189,17.7,-3.3996,3.5134,0.0167
189,17.8,-3.3996,3.5133,0.0168
189,17.9,-3.3996,3.5132,0.0169
189,18,-3.3996,3.5131,0.017
190,18.001,0,3.635,0
190,18.1,0,3.635,0
190,18.2,0,3.6353,0
190,18.3,0,3.6364,0
190,18.4,0,3.6373,0
190,18.5,0,3.6381,0
190,18.6,0,3.6387,0
190,18.7,0,3.6392,0
190,18.8,0,3.6396,0
190,18.9,0,3.64,0
190,19,0,3.6404,0
190,19.1,0,3.6407,0
