Step,Time,I,E,Q
11,0,-1.6977,3.6998,0
11,0.1,-1.6977,3.6998,0
11,0.2,-1.6981,3.6993,0.0001
11,0.3,-1.6986,3.6991,0.0001
11,0.4,-1.6988,3.6984,0.0002
11,0.5,-1.699,3.6978,0.0002
11,0.6,-1.6991,3.6974,0.0003
11,0.7,-1.6992,3.697,0.0003
11,0.8,-1.6993,3.6967,0.0004
11,0.9,-1.6993,3.6964,0.0004
11,1,-1.6994,3.6961,0.0005
11,1.1,-1.6994,3.6959,0.0005
11,1.2,-1.6994,3.6956,0.0006
11,1.3,-1.6994,3.6954,0.0006
11,1.4,-1.6995,3.6951,0.0007
11,1.5,-1.6995,3.6949,0.0007
11,1.6,-1.6995,3.6947,0.0008
11,1.7,-1.6995,3.6945,0.0008
11,1.8,-1.6995,3.6943,0.0008
11,1.9,-1.6995,3.6942,0.0009
11,2,-1.6995,3.6939,0.0009
11,2.1,-1.6995,3.6938,0.001
11,2.2,-1.6995,3.6936,0.001
11,2.3,-1.6995,3.6934,0.0011
11,2.4,-1.6996,3.6933,0.0011
11,2.5,-1.6996,3.6931,0.0012
11,2.6,-1.6996,3.693,0.0012
11,2.7,-1.6996,3.6928,0.0013
11,2.8,-1.6996,3.6926,0.0013
11,2.9,-1.6996,3.6925,0.0014
11,3,-1.6996,3.6924,0.0014
11,3.1,-1.6996,3.6922,0.0015
11,3.2,-1.6996,3.6921,0.0015
11,3.3,-1.6996,3.6919,0.0016
11,3.4,-1.6996,3.6918,0.0016
11,3.5,-1.6996,3.6916,0.0017
11,3.6,-1.6996,3.6915,0.0017
11,3.7,-1.6996,3.6913,0.0017
11,3.8,-1.6996,3.6912,0.0018
11,3.9,-1.6996,3.6911,0.0018
11,4,-1.6996,3.6909,0.0019
11,4.1,-1.6996,3.6908,0.0019
11,4.2,-1.6996,3.6907,0.002
11,4.3,-1.6996,3.6906,0.002
11,4.4,-1.6996,3.6904,0.0021
11,4.5,-1.6996,3.6903,0.0021
11,4.6,-1.6996,3.6902,0.0022
11,4.7,-1.6996,3.6901,0.0022
11,4.8,-1.6996,3.69,0.0023
11,4.9,-1.6996,3.6898,0.0023
11,5,-1.6996,3.6897,0.0024
11,5.1,-1.6996,3.6896,0.0024
11,5.2,-1.6996,3.6895,0.0025
11,5.3,-1.6996,3.6894,0.0025
11,5.4,-1.6996,3.6892,0.0025
11,5.5,-1.6996,3.6891,0.0026
11,5.6,-1.6996,3.689,0.0026
11,5.7,-1.6996,3.6889,0.0027
11,5.8,-1.6996,3.6888,0.0027
11,5.9,-1.6996,3.6887,0.0028
11,6,-1.6996,3.6886,0.0028
11,6.1,-1.6996,3.6885,0.0029
11,6.2,-1.6996,3.6884,0.0029
11,6.3,-1.6996,3.6882,0.003
11,6.4,-1.6996,3.6881,0.003
11,6.5,-1.6996,3.688,0.0031
11,6.6,-1.6996,3.6879,0.0031
11,6.7,-1.6996,3.6878,0.0032
11,6.8,-1.6996,3.6877,0.0032
11,6.9,-1.6996,3.6876,0.0033
11,7,-1.6996,3.6875,0.0033
11,7.1,-1.6996,3.6874,0.0034
11,7.2,-1.6996,3.6873,0.0034
11,7.3,-1.6996,3.6872,0.0034
11,7.4,-1.6996,3.6871,0.0035
11,7.5,-1.6996,3.687,0.0035
11,7.6,-1.6997,3.6869,0.0036
11,7.7,-1.6997,3.6868,0.0036
11,7.8,-1.6997,3.6867,0.0037
11,7.9,-1.6997,3.6866,0.0037
11,8,-1.6997,3.6865,0.0038
11,8.1,-1.6997,3.6864,0.0038
11,8.2,-1.6997,3.6863,0.0039
11,8.3,-1.6997,3.6862,0.0039
11,8.4,-1.6997,3.6861,0.004
11,8.5,-1.6997,3.686,0.004
11,8.6,-1.6997,3.686,0.0041
11,8.7,-1.6997,3.6859,0.0041
11,8.8,-1.6997,3.6858,0.0042
11,8.9,-1.6997,3.6857,0.0042
11,9,-1.6997,3.6856,0.0042
11,9.1,-1.6997,3.6855,0.0043
11,9.2,-1.6997,3.6854,0.0043
11,9.3,-1.6997,3.6853,0.0044
11,9.4,-1.6997,3.6852,0.0044
11,9.5,-1.6997,3.6851,0.0045
11,9.6,-1.6997,3.685,0.0045
11,9.7,-1.6997,3.6849,0.0046
11,9.8,-1.6997,3.6849,0.0046
11,9.9,-1.6997,3.6848,0.0047
11,10,-1.6997,3.6847,0.0047
11,10.1,-1.6997,3.6846,0.0048
11,10.2,-1.6997,3.6845,0.0048
11,10.3,-1.6997,3.6844,0.0049
11,10.4,-1.6997,3.6843,0.0049
11,10.5,-1.6997,3.6842,0.005
11,10.6,-1.6997,3.6841,0.005
11,10.7,-1.6997,3.684,0.0051
11,10.8,-1.6997,3.684,0.0051
11,10.9,-1.6996,3.6839,0.0051
11,11,-1.6996,3.6838,0.0052
11,11.1,-1.6996,3.6837,0.0052
11,11.2,-1.6996,3.6836,0.0053
11,11.3,-1.6996,3.6835,0.0053
11,11.4,-1.6996,3.6835,0.0054
11,11.5,-1.6997,3.6834,0.0054
11,11.6,-1.6997,3.6833,0.0055
11,11.7,-1.6996,3.6832,0.0055
11,11.8,-1.6996,3.6832,0.0056
11,11.9,-1.6996,3.6831,0.0056
11,12,-1.6996,3.683,0.0057
11,12.1,-1.6996,3.6829,0.0057
11,12.2,-1.6996,3.6829,0.0058
11,12.3,-1.6996,3.6827,0.0058
11,12.4,-1.6997,3.6826,0.0059
11,12.5,-1.6997,3.6826,0.0059
11,12.6,-1.6997,3.6825,0.0059
11,12.7,-1.6997,3.6824,0.006
11,12.8,-1.6997,3.6824,0.006
11,12.9,-1.6997,3.6822,0.0061
11,13,-1.6997,3.6822,0.0061
11,13.1,-1.6997,3.6821,0.0062
11,13.2,-1.6997,3.682,0.0062
11,13.3,-1.6997,3.6819,0.0063
11,13.4,-1.6997,3.6819,0.0063
11,13.5,-1.6997,3.6818,0.0064
11,13.6,-1.6997,3.6817,0.0064
11,13.7,-1.6997,3.6817,0.0065
11,13.8,-1.6997,3.6816,0.0065
11,13.9,-1.6997,3.6815,0.0066
11,14,-1.6997,3.6814,0.0066
11,14.1,-1.6997,3.6813,0.0067
11,14.2,-1.6997,3.6813,0.0067
11,14.3,-1.6997,3.6812,0.0068
11,14.4,-1.6997,3.6811,0.0068
11,14.5,-1.6997,3.6811,0.0068
11,14.6,-1.6997,3.681,0.0069
11,14.7,-1.6997,3.6809,0.0069
11,14.8,-1.6997,3.6809,0.007
11,14.9,-1.6997,3.6808,0.007
11,15,-1.6997,3.6807,0.0071
11,15.1,-1.6997,3.6806,0.0071
11,15.2,-1.6997,3.6806,0.0072
11,15.3,-1.6997,3.6805,0.0072
11,15.4,-1.6997,3.6804,0.0073
11,15.5,-1.6997,3.6803,0.0073
11,15.6,-1.6997,3.6803,0.0074
11,15.7,-1.6997,3.6802,0.0074
11,15.8,-1.6997,3.6802,0.0075
11,15.9,-1.6997,3.6801,0.0075
11,16,-1.6997,3.68,0.0076
11,16.1,-1.6997,3.6799,0.0076
