Step,Time,I,E,Q
56,0,3.3971,3.8522,0
56,0.1,3.3971,3.8522,0.0001
56,0.2,3.3976,3.853,0.0002
56,0.3,3.3983,3.854,0.0003
56,0.4,3.3987,3.8551,0.0004
56,0.5,3.3989,3.856,0.0005
56,0.6,3.3991,3.8568,0.0006
56,0.7,3.3992,3.8573,0.0007
56,0.8,3.3993,3.8579,0.0008
56,0.9,3.3993,3.8585,0.0008
56,1,3.3994,3.8589,0.0009
56,1.1,3.3994,3.8594,0.001
56,1.2,3.3994,3.8598,0.0011
56,1.3,3.3995,3.8602,0.0012
56,1.4,3.3995,3.8606,0.0013
56,1.5,3.3995,3.8609,0.0014
56,1.6,3.3995,3.8613,0.0015
56,1.7,3.3995,3.8617,0.0016
56,1.8,3.3995,3.8619,0.0017
56,1.9,3.3996,3.8623,0.0018
56,2,3.3996,3.8625,0.0019
56,2.1,3.3996,3.8628,0.002
56,2.2,3.3996,3.8631,0.0021
56,2.3,3.3996,3.8634,0.0022
56,2.4,3.3996,3.8637,0.0023
56,2.5,3.3996,3.8639,0.0024
56,2.6,3.3996,3.8643,0.0025
56,2.7,3.3996,3.8644,0.0025
56,2.8,3.3996,3.8647,0.0026
56,2.9,3.3997,3.8649,0.0027
56,3,3.3997,3.8651,0.0028
56,3.1,3.3997,3.8654,0.0029
56,3.2,3.3997,3.8656,0.003
56,3.3,3.3997,3.8659,0.0031
56,3.4,3.3997,3.8661,0.0032
56,3.5,3.3997,3.8663,0.0033
56,3.6,3.3997,3.8666,0.0034
56,3.7,3.3997,3.8668,0.0035
56,3.8,3.3997,3.867,0.0036
56,3.9,3.3997,3.8672,0.0037
56,4,3.3997,3.8674,0.0038
56,4.1,3.3997,3.8676,0.0039
56,4.2,3.3997,3.8678,0.004
56,4.3,3.3997,3.868,0.0041
56,4.4,3.3998,3.8682,0.0042
56,4.5,3.3998,3.8684,0.0042
56,4.6,3.3998,3.8686,0.0043
56,4.7,3.3998,3.8687,0.0044
56,4.8,3.3998,3.8689,0.0045
56,4.9,3.3998,3.8691,0.0046
56,5,3.3998,3.8693,0.0047
56,5.1,3.3998,3.8695,0.0048
56,5.2,3.3998,3.8696,0.0049
56,5.3,3.3998,3.8698,0.005
56,5.4,3.3998,3.87,0.0051
56,5.5,3.3998,3.8701,0.0052
56,5.6,3.3998,3.8703,0.0053
56,5.7,3.3998,3.8705,0.0054
56,5.8,3.3998,3.8707,0.0055
56,5.9,3.3998,3.8708,0.0056
56,6,3.3998,3.871,0.0057
56,6.1,3.3998,3.8711,0.0058
56,6.2,3.3998,3.8713,0.0059
56,6.3,3.3998,3.8714,0.0059
56,6.4,3.3998,3.8716,0.006
56,6.5,3.3998,3.8717,0.0061
56,6.6,3.3998,3.8719,0.0062
56,6.7,3.3998,3.872,0.0063
56,6.8,3.3998,3.8722,0.0064
56,6.9,3.3998,3.8724,0.0065
56,7,3.3998,3.8725,0.0066
56,7.1,3.3998,3.8727,0.0067
