Step,Time,I,E,Q
88,0,1.6977,3.7613,0
88,0.1,1.6977,3.7613,0
88,0.2,1.6981,3.7616,0.0001
88,0.3,1.6987,3.7621,0.0001
88,0.4,1.699,3.7626,0.0002
88,0.5,1.6992,3.7631,0.0002
88,0.6,1.6993,3.7634,0.0003
88,0.7,1.6994,3.7637,0.0003
88,0.8,1.6994,3.764,0.0004
88,0.9,1.6995,3.7642,0.0004
88,1,1.6995,3.7645,0.0005
88,1.1,1.6996,3.7647,0.0005
88,1.2,1.6996,3.7649,0.0006
88,1.3,1.6996,3.7651,0.0006
88,1.4,1.6996,3.7653,0.0007
88,1.5,1.6997,3.7655,0.0007
88,1.6,1.6997,3.7656,0.0008
88,1.7,1.6997,3.7658,0.0008
88,1.8,1.6997,3.7659,0.0008
88,1.9,1.6997,3.7661,0.0009
88,2,1.6997,3.7663,0.0009
88,2.1,1.6997,3.7664,0.001
88,2.2,1.6997,3.7665,0.001
88,2.3,1.6997,3.7667,0.0011
88,2.4,1.6997,3.7668,0.0011
88,2.5,1.6997,3.7669,0.0012
88,2.6,1.6997,3.7671,0.0012
88,2.7,1.6998,3.7673,0.0013
88,2.8,1.6998,3.7674,0.0013
88,2.9,1.6998,3.7675,0.0014
88,3,1.6998,3.7676,0.0014
88,3.1,1.6998,3.7678,0.0015
88,3.2,1.6998,3.7679,0.0015
88,3.3,1.6998,3.768,0.0016
88,3.4,1.6998,3.7681,0.0016
88,3.5,1.6998,3.7682,0.0017
88,3.6,1.6998,3.7684,0.0017
88,3.7,1.6998,3.7685,0.0017
88,3.8,1.6998,3.7686,0.0018
88,3.9,1.6998,3.7687,0.0018
88,4,1.6998,3.7688,0.0019
88,4.1,1.6998,3.7689,0.0019
88,4.2,1.6998,3.7691,0.002
88,4.3,1.6998,3.7692,0.002
88,4.4,1.6998,3.7693,0.0021
88,4.5,1.6998,3.7694,0.0021
88,4.6,1.6998,3.7695,0.0022
88,4.7,1.6998,3.7695,0.0022
88,4.8,1.6998,3.7696,0.0023
88,4.9,1.6998,3.7698,0.0023
88,5,1.6998,3.7699,0.0024
88,5.1,1.6998,3.7699,0.0024
88,5.2,1.6998,3.7701,0.0025
88,5.3,1.6998,3.7701,0.0025
88,5.4,1.6998,3.7703,0.0025
88,5.5,1.6998,3.7704,0.0026
88,5.6,1.6998,3.7705,0.0026
88,5.7,1.6998,3.7706,0.0027
88,5.8,1.6998,3.7706,0.0027
88,5.9,1.6998,3.7707,0.0028
88,6,1.6998,3.7708,0.0028
88,6.1,1.6998,3.7709,0.0029
88,6.2,1.6998,3.771,0.0029
88,6.3,1.6998,3.7711,0.003
88,6.4,1.6998,3.7712,0.003
88,6.5,1.6998,3.7713,0.0031
88,6.6,1.6998,3.7714,0.0031
88,6.7,1.6998,3.7715,0.0032
88,6.8,1.6998,3.7716,0.0032
88,6.9,1.6998,3.7717,0.0033
88,7,1.6998,3.7717,0.0033
88,7.1,1.6998,3.7718,0.0034
88,7.2,1.6998,3.7719,0.0034
88,7.3,1.6998,3.772,0.0034
88,7.4,1.6998,3.772,0.0035
88,7.5,1.6998,3.7722,0.0035
88,7.6,1.6998,3.7723,0.0036
88,7.7,1.6998,3.7723,0.0036
88,7.8,1.6998,3.7724,0.0037
88,7.9,1.6998,3.7725,0.0037
88,8,1.6998,3.7726,0.0038
88,8.1,1.6998,3.7727,0.0038
88,8.2,1.6998,3.7728,0.0039
88,8.3,1.6998,3.7728,0.0039
88,8.4,1.6998,3.7729,0.004
88,8.5,1.6998,3.773,0.004
88,8.6,1.6998,3.7731,0.0041
88,8.7,1.6998,3.7731,0.0041
88,8.8,1.6998,3.7732,0.0042
88,8.9,1.6998,3.7733,0.0042
88,9,1.6998,3.7733,0.0042
88,9.1,1.6998,3.7734,0.0043
88,9.2,1.6998,3.7735,0.0043
88,9.3,1.6998,3.7735,0.0044
88,9.4,1.6998,3.7736,0.0044
88,9.5,1.6998,3.7737,0.0045
88,9.6,1.6998,3.7738,0.0045
88,9.7,1.6998,3.7738,0.0046
88,9.8,1.6998,3.7739,0.0046
88,9.9,1.6998,3.774,0.0047
88,10,1.6998,3.7741,0.0047
88,10.1,1.6998,3.7741,0.0048
88,10.2,1.6998,3.7742,0.0048
88,10.3,1.6998,3.7743,0.0049
88,10.4,1.6998,3.7744,0.0049
88,10.5,1.6998,3.7744,0.005
88,10.6,1.6998,3.7745,0.005
88,10.7,1.6998,3.7746,0.0051
88,10.8,1.6998,3.7746,0.0051
88,10.9,1.6998,3.7747,0.0051
88,11,1.6999,3.7748,0.0052
88,11.1,1.6999,3.7749,0.0052
88,11.2,1.6999,3.7749,0.0053
88,11.3,1.6999,3.775,0.0053
88,11.4,1.6999,3.775,0.0054
88,11.5,1.6999,3.7751,0.0054
88,11.6,1.6999,3.7752,0.0055
88,11.7,1.6999,3.7752,0.0055
88,11.8,1.6999,3.7753,0.0056
88,11.9,1.6999,3.7754,0.0056
88,12,1.6999,3.7755,0.0057
88,12.1,1.6999,3.7755,0.0057
88,12.2,1.6999,3.7756,0.0058
88,12.3,1.6999,3.7756,0.0058
88,12.4,1.6999,3.7757,0.0059
88,12.5,1.6999,3.7758,0.0059
88,12.6,1.6999,3.7758,0.0059
88,12.7,1.6999,3.7759,0.006
88,12.8,1.6999,3.776,0.006
88,12.9,1.6999,3.776,0.0061
88,13,1.6999,3.7761,0.0061
88,13.1,1.6999,3.7761,0.0062
88,13.2,1.6999,3.7762,0.0062
88,13.3,1.6999,3.7763,0.0063
88,13.4,1.6999,3.7763,0.0063
88,13.5,1.6999,3.7764,0.0064
88,13.6,1.6999,3.7765,0.0064
88,13.7,1.6999,3.7765,0.0065
88,13.8,1.6999,3.7766,0.0065
88,13.9,1.6999,3.7766,0.0066
88,14,1.6999,3.7767,0.0066
88,14.1,1.6999,3.7768,0.0067
88,14.2,1.6999,3.7768,0.0067
88,14.3,1.6999,3.7769,0.0068
88,14.4,1.6999,3.7769,0.0068
88,14.5,1.6999,3.777,0.0068
88,14.6,1.6999,3.777,0.0069
88,14.7,1.6999,3.7771,0.0069
88,14.8,1.6999,3.7772,0.007
88,14.9,1.6999,3.7772,0.007
88,15,1.6999,3.7773,0.0071
88,15.1,1.6999,3.7774,0.0071
88,15.2,1.6999,3.7774,0.0072
88,15.3,1.6999,3.7775,0.0072
88,15.4,1.6999,3.7775,0.0073
88,15.5,1.6999,3.7776,0.0073
