Step,Time,I,E,Q
47,0,-3.3976,3.6433,0
47,0.1,-3.3976,3.6433,0.0001
47,0.2,-3.3979,3.6424,0.0002
47,0.3,-3.3985,3.6418,0.0003
47,0.4,-3.3987,3.6405,0.0004
47,0.5,-3.3989,3.6396,0.0005
47,0.6,-3.3991,3.6389,0.0006
47,0.7,-3.3992,3.6382,0.0007
47,0.8,-3.3993,3.6376,0.0008
47,0.9,-3.3993,3.637,0.0008
47,1,-3.3993,3.6365,0.0009
47,1.1,-3.3994,3.6361,0.001
47,1.2,-3.3994,3.6356,0.0011
47,1.3,-3.3994,3.6352,0.0012
47,1.4,-3.3994,3.6348,0.0013
47,1.5,-3.3994,3.6345,0.0014
47,1.6,-3.3995,3.634,0.0015
47,1.7,-3.3995,3.6337,0.0016
47,1.8,-3.3995,3.6334,0.0017
47,1.9,-3.3995,3.6331,0.0018
47,2,-3.3995,3.6327,0.0019
47,2.1,-3.3995,3.6324,0.002
47,2.2,-3.3995,3.6321,0.0021
47,2.3,-3.3995,3.6319,0.0022
47,2.4,-3.3995,3.6316,0.0023
47,2.5,-3.3995,3.6313,0.0024
47,2.6,-3.3995,3.631,0.0025
47,2.7,-3.3995,3.6307,0.0025
47,2.8,-3.3995,3.6304,0.0026
47,2.9,-3.3996,3.6302,0.0027
47,3,-3.3996,3.63,0.0028
47,3.1,-3.3996,3.6297,0.0029
47,3.2,-3.3996,3.6295,0.003
47,3.3,-3.3996,3.6293,0.0031
47,3.4,-3.3996,3.629,0.0032
47,3.5,-3.3996,3.6288,0.0033
47,3.6,-3.3996,3.6285,0.0034
47,3.7,-3.3996,3.6283,0.0035
47,3.8,-3.3996,3.6281,0.0036
47,3.9,-3.3996,3.6279,0.0037
47,4,-3.3996,3.6277,0.0038
47,4.1,-3.3996,3.6274,0.0039
47,4.2,-3.3996,3.6272,0.004
47,4.3,-3.3996,3.627,0.0041
47,4.4,-3.3996,3.6268,0.0042
47,4.5,-3.3996,3.6266,0.0042
47,4.6,-3.3996,3.6264,0.0043
47,4.7,-3.3996,3.6263,0.0044
47,4.8,-3.3996,3.626,0.0045
47,4.9,-3.3996,3.6258,0.0046
47,5,-3.3996,3.6256,0.0047
47,5.1,-3.3996,3.6255,0.0048
47,5.2,-3.3996,3.6253,0.0049
47,5.3,-3.3996,3.6251,0.005
47,5.4,-3.3996,3.6249,0.0051
47,5.5,-3.3996,3.6247,0.0052
47,5.6,-3.3996,3.6245,0.0053
47,5.7,-3.3996,3.6243,0.0054
47,5.8,-3.3996,3.6242,0.0055
47,5.9,-3.3996,3.624,0.0056
47,6,-3.3996,3.6238,0.0057
47,6.1,-3.3996,3.6237,0.0058
47,6.2,-3.3996,3.6235,0.0059
47,6.3,-3.3996,3.6233,0.0059
47,6.4,-3.3996,3.6231,0.006
47,6.5,-3.3996,3.6229,0.0061
47,6.6,-3.3996,3.6228,0.0062
47,6.7,-3.3996,3.6226,0.0063
47,6.8,-3.3996,3.6225,0.0064
47,6.9,-3.3996,3.6223,0.0065
47,7,-3.3996,3.6221,0.0066
47,7.1,-3.3996,3.622,0.0067
47,7.2,-3.3996,3.6218,0.0068
47,7.3,-3.3996,3.6216,0.0069
47,7.4,-3.3996,3.6215,0.007
47,7.5,-3.3996,3.6213,0.0071
47,7.6,-3.3996,3.6212,0.0072
47,7.7,-3.3996,3.621,0.0073
47,7.8,-3.3996,3.6208,0.0074
47,7.9,-3.3996,3.6207,0.0075
47,8,-3.3996,3.6205,0.0076
47,8.1,-3.3996,3.6204,0.0076
47,8.2,-3.3996,3.6202,0.0077
47,8.3,-3.3996,3.62,0.0078
47,8.4,-3.3996,3.6199,0.0079
47,8.5,-3.3996,3.6198,0.008
47,8.6,-3.3996,3.6196,0.0081
47,8.7,-3.3996,3.6195,0.0082
47,8.8,-3.3996,3.6193,0.0083
47,8.9,-3.3996,3.6191,0.0084
47,9,-3.3996,3.619,0.0085
47,9.1,-3.3996,3.6188,0.0086
47,9.2,-3.3996,3.6186,0.0087
