Step,Time,I,E,Q
23,0,-1.6977,3.6997,0
23,0.1,-1.6977,3.6997,0
23,0.2,-1.6981,3.6992,0.0001
23,0.3,-1.6986,3.6989,0.0001
23,0.4,-1.6988,3.6982,0.0002
23,0.5,-1.699,3.6977,0.0002
23,0.6,-1.6991,3.6973,0.0003
23,0.7,-1.6992,3.6969,0.0003
23,0.8,-1.6992,3.6966,0.0004
23,0.9,-1.6993,3.6963,0.0004
23,1,-1.6993,3.696,0.0005
23,1.1,-1.6993,3.6957,0.0005
23,1.2,-1.6994,3.6955,0.0006
23,1.3,-1.6994,3.6952,0.0006
23,1.4,-1.6994,3.6951,0.0007
23,1.5,-1.6994,3.6949,0.0007
23,1.6,-1.6994,3.6946,0.0008
23,1.7,-1.6994,3.6945,0.0008
23,1.8,-1.6994,3.6943,0.0008
23,1.9,-1.6994,3.6941,0.0009
23,2,-1.6995,3.6939,0.0009
23,2.1,-1.6995,3.6937,0.001
23,2.2,-1.6995,3.6936,0.001
23,2.3,-1.6995,3.6934,0.0011
23,2.4,-1.6995,3.6933,0.0011
23,2.5,-1.6995,3.6931,0.0012
23,2.6,-1.6995,3.6929,0.0012
23,2.7,-1.6995,3.6928,0.0013
23,2.8,-1.6995,3.6927,0.0013
23,2.9,-1.6995,3.6925,0.0014
23,3,-1.6995,3.6924,0.0014
23,3.1,-1.6995,3.6922,0.0015
23,3.2,-1.6995,3.6921,0.0015
23,3.3,-1.6995,3.692,0.0016
23,3.4,-1.6995,3.6918,0.0016
23,3.5,-1.6995,3.6917,0.0017
23,3.6,-1.6995,3.6915,0.0017
23,3.7,-1.6995,3.6914,0.0017
23,3.8,-1.6995,3.6913,0.0018
23,3.9,-1.6995,3.6911,0.0018
23,4,-1.6995,3.6911,0.0019
23,4.1,-1.6995,3.6909,0.0019
23,4.2,-1.6995,3.6908,0.002
23,4.3,-1.6995,3.6907,0.002
23,4.4,-1.6995,3.6906,0.0021
23,4.5,-1.6995,3.6904,0.0021
23,4.6,-1.6995,3.6903,0.0022
23,4.7,-1.6995,3.6902,0.0022
23,4.8,-1.6995,3.6901,0.0023
23,4.9,-1.6996,3.69,0.0023
23,5,-1.6996,3.6899,0.0024
23,5.1,-1.6996,3.6898,0.0024
23,5.2,-1.6996,3.6896,0.0025
23,5.3,-1.6996,3.6895,0.0025
23,5.4,-1.6996,3.6894,0.0025
23,5.5,-1.6996,3.6893,0.0026
23,5.6,-1.6996,3.6892,0.0026
23,5.7,-1.6996,3.6891,0.0027
23,5.8,-1.6996,3.689,0.0027
23,5.9,-1.6996,3.6889,0.0028
23,6,-1.6996,3.6887,0.0028
23,6.1,-1.6996,3.6886,0.0029
23,6.2,-1.6996,3.6886,0.0029
23,6.3,-1.6996,3.6885,0.003
23,6.4,-1.6996,3.6884,0.003
23,6.5,-1.6996,3.6883,0.0031
23,6.6,-1.6996,3.6882,0.0031
23,6.7,-1.6996,3.6881,0.0032
23,6.8,-1.6996,3.688,0.0032
23,6.9,-1.6996,3.6879,0.0033
23,7,-1.6997,3.6878,0.0033
23,7.1,-1.6997,3.6877,0.0034
23,7.2,-1.6997,3.6876,0.0034
23,7.3,-1.6997,3.6875,0.0034
23,7.4,-1.6997,3.6874,0.0035
23,7.5,-1.6997,3.6873,0.0035
23,7.6,-1.6997,3.6872,0.0036
23,7.7,-1.6997,3.6872,0.0036
23,7.8,-1.6997,3.6871,0.0037
23,7.9,-1.6997,3.687,0.0037
23,8,-1.6997,3.6869,0.0038
23,8.1,-1.6997,3.6868,0.0038
23,8.2,-1.6997,3.6867,0.0039
23,8.3,-1.6997,3.6866,0.0039
23,8.4,-1.6997,3.6865,0.004
23,8.5,-1.6997,3.6864,0.004
23,8.6,-1.6997,3.6863,0.0041
23,8.7,-1.6997,3.6863,0.0041
23,8.8,-1.6997,3.6862,0.0042
23,8.9,-1.6997,3.6861,0.0042
23,9,-1.6997,3.686,0.0042
23,9.1,-1.6997,3.6859,0.0043
23,9.2,-1.6997,3.6859,0.0043
23,9.3,-1.6997,3.6857,0.0044
23,9.4,-1.6997,3.6857,0.0044
23,9.5,-1.6997,3.6856,0.0045
23,9.6,-1.6997,3.6855,0.0045
23,9.7,-1.6997,3.6855,0.0046
23,9.8,-1.6997,3.6854,0.0046
23,9.9,-1.6997,3.6853,0.0047
23,10,-1.6997,3.6852,0.0047
23,10.1,-1.6997,3.6851,0.0048
23,10.2,-1.6997,3.685,0.0048
23,10.3,-1.6997,3.6849,0.0049
23,10.4,-1.6997,3.6848,0.0049
23,10.5,-1.6997,3.6848,0.005
23,10.6,-1.6997,3.6847,0.005
23,10.7,-1.6997,3.6846,0.0051
23,10.8,-1.6997,3.6846,0.0051
23,10.9,-1.6997,3.6845,0.0051
23,11,-1.6997,3.6844,0.0052
23,11.1,-1.6997,3.6843,0.0052
23,11.2,-1.6997,3.6842,0.0053
23,11.3,-1.6997,3.6842,0.0053
23,11.4,-1.6996,3.6841,0.0054
23,11.5,-1.6996,3.684,0.0054
23,11.6,-1.6996,3.6839,0.0055
23,11.7,-1.6996,3.6838,0.0055
23,11.8,-1.6996,3.6838,0.0056
23,11.9,-1.6996,3.6837,0.0056
23,12,-1.6996,3.6837,0.0057
23,12.1,-1.6996,3.6835,0.0057
23,12.2,-1.6996,3.6835,0.0058
23,12.3,-1.6996,3.6834,0.0058
23,12.4,-1.6996,3.6833,0.0059
