Step,Time,I,E,Q
32,0,1.6986,3.7939,0
32,0.1,1.6986,3.7939,0
32,0.2,1.6987,3.7945,0.0001
32,0.3,1.699,3.7948,0.0001
32,0.4,1.6992,3.7954,0.0002
32,0.5,1.6994,3.7958,0.0002
32,0.6,1.6995,3.7962,0.0003
32,0.7,1.6995,3.7966,0.0003
32,0.8,1.6995,3.7968,0.0004
32,0.9,1.6996,3.7971,0.0004
32,1,1.6996,3.7973,0.0005
32,1.1,1.6996,3.7975,0.0005
32,1.2,1.6996,3.7978,0.0006
32,1.3,1.6996,3.798,0.0006
32,1.4,1.6997,3.7982,0.0007
32,1.5,1.6997,3.7983,0.0007
32,1.6,1.6997,3.7986,0.0008
32,1.7,1.6997,3.7987,0.0008
32,1.8,1.6997,3.7989,0.0008
32,1.9,1.6997,3.799,0.0009
32,2,1.6997,3.7992,0.0009
32,2.1,1.6997,3.7994,0.001
32,2.2,1.6997,3.7996,0.001
32,2.3,1.6997,3.7997,0.0011
32,2.4,1.6997,3.7999,0.0011
32,2.5,1.6997,3.8,0.0012
32,2.6,1.6997,3.8001,0.0012
32,2.7,1.6997,3.8002,0.0013
32,2.8,1.6997,3.8004,0.0013
32,2.9,1.6997,3.8005,0.0014
32,3,1.6997,3.8006,0.0014
32,3.1,1.6997,3.8007,0.0015
32,3.2,1.6997,3.8009,0.0015
32,3.3,1.6997,3.801,0.0016
32,3.4,1.6997,3.8011,0.0016
32,3.5,1.6997,3.8012,0.0017
32,3.6,1.6997,3.8014,0.0017
32,3.7,1.6997,3.8014,0.0017
32,3.8,1.6997,3.8015,0.0018
32,3.9,1.6997,3.8016,0.0018
32,4,1.6997,3.8018,0.0019
32,4.1,1.6997,3.8019,0.0019
32,4.2,1.6997,3.802,0.002
32,4.3,1.6997,3.8021,0.002
32,4.4,1.6997,3.8022,0.0021
32,4.5,1.6997,3.8023,0.0021
32,4.6,1.6997,3.8024,0.0022
32,4.7,1.6998,3.8025,0.0022
32,4.8,1.6998,3.8026,0.0023
32,4.9,1.6998,3.8027,0.0023
32,5,1.6998,3.8028,0.0024
32,5.1,1.6998,3.8029,0.0024
32,5.2,1.6998,3.803,0.0025
32,5.3,1.6998,3.8031,0.0025
32,5.4,1.6998,3.8032,0.0025
32,5.5,1.6998,3.8033,0.0026
32,5.6,1.6998,3.8034,0.0026
32,5.7,1.6998,3.8035,0.0027
32,5.8,1.6998,3.8035,0.0027
32,5.9,1.6998,3.8036,0.0028
32,6,1.6998,3.8037,0.0028
32,6.1,1.6998,3.8039,0.0029
32,6.2,1.6998,3.8039,0.0029
32,6.3,1.6998,3.804,0.003
32,6.4,1.6998,3.8041,0.003
32,6.5,1.6998,3.8042,0.0031
32,6.6,1.6998,3.8042,0.0031
32,6.7,1.6998,3.8043,0.0032
32,6.8,1.6998,3.8044,0.0032
32,6.9,1.6998,3.8045,0.0033
32,7,1.6998,3.8046,0.0033
32,7.1,1.6998,3.8047,0.0034
32,7.2,1.6998,3.8048,0.0034
32,7.3,1.6998,3.8049,0.0034
32,7.4,1.6998,3.8049,0.0035
32,7.5,1.6998,3.805,0.0035
32,7.6,1.6998,3.8051,0.0036
32,7.7,1.6998,3.8052,0.0036
32,7.8,1.6998,3.8053,0.0037
32,7.9,1.6998,3.8053,0.0037
32,8,1.6998,3.8054,0.0038
32,8.1,1.6998,3.8055,0.0038
