Step,Time,I,E,Q
17,0,-1.6982,3.6996,0
17,0.1,-1.6982,3.6996,0
17,0.2,-1.6984,3.6988,0.0001
17,0.3,-1.6988,3.6986,0.0001
17,0.4,-1.699,3.6979,0.0002
17,0.5,-1.6992,3.6974,0.0002
17,0.6,-1.6993,3.6969,0.0003
17,0.7,-1.6994,3.6966,0.0003
17,0.8,-1.6994,3.6962,0.0004
17,0.9,-1.6994,3.6959,0.0004
17,1,-1.6995,3.6957,0.0005
17,1.1,-1.6995,3.6954,0.0005
17,1.2,-1.6995,3.6952,0.0006
17,1.3,-1.6995,3.6949,0.0006
17,1.4,-1.6996,3.6947,0.0007
17,1.5,-1.6996,3.6945,0.0007
17,1.6,-1.6996,3.6943,0.0008
17,1.7,-1.6996,3.6941,0.0008
17,1.8,-1.6996,3.6939,0.0008
17,1.9,-1.6996,3.6937,0.0009
17,2,-1.6996,3.6935,0.0009
17,2.1,-1.6996,3.6933,0.001
17,2.2,-1.6996,3.6932,0.001
17,2.3,-1.6996,3.693,0.0011
17,2.4,-1.6996,3.6928,0.0011
17,2.5,-1.6996,3.6927,0.0012
17,2.6,-1.6996,3.6925,0.0012
17,2.7,-1.6996,3.6924,0.0013
17,2.8,-1.6997,3.6922,0.0013
17,2.9,-1.6997,3.6921,0.0014
17,3,-1.6997,3.6919,0.0014
17,3.1,-1.6997,3.6918,0.0015
17,3.2,-1.6997,3.6916,0.0015
17,3.3,-1.6997,3.6915,0.0016
17,3.4,-1.6997,3.6913,0.0016
17,3.5,-1.6997,3.6912,0.0017
17,3.6,-1.6997,3.6911,0.0017
17,3.7,-1.6997,3.691,0.0017
17,3.8,-1.6997,3.6908,0.0018
17,3.9,-1.6997,3.6907,0.0018
17,4,-1.6997,3.6905,0.0019
17,4.1,-1.6997,3.6904,0.0019
17,4.2,-1.6997,3.6903,0.002
17,4.3,-1.6997,3.6902,0.002
17,4.4,-1.6997,3.69,0.0021
17,4.5,-1.6997,3.6899,0.0021
17,4.6,-1.6997,3.6897,0.0022
17,4.7,-1.6997,3.6897,0.0022
17,4.8,-1.6997,3.6895,0.0023
17,4.9,-1.6997,3.6894,0.0023
17,5,-1.6997,3.6893,0.0024
17,5.1,-1.6997,3.6892,0.0024
17,5.2,-1.6997,3.6891,0.0025
17,5.3,-1.6997,3.6889,0.0025
17,5.4,-1.6997,3.6889,0.0025
17,5.5,-1.6997,3.6887,0.0026
17,5.6,-1.6997,3.6886,0.0026
17,5.7,-1.6997,3.6885,0.0027
17,5.8,-1.6997,3.6884,0.0027
17,5.9,-1.6997,3.6883,0.0028
17,6,-1.6997,3.6881,0.0028
17,6.1,-1.6997,3.6881,0.0029
17,6.2,-1.6997,3.688,0.0029
17,6.3,-1.6997,3.6878,0.003
17,6.4,-1.6997,3.6877,0.003
17,6.5,-1.6997,3.6876,0.0031
17,6.6,-1.6997,3.6875,0.0031
17,6.7,-1.6997,3.6874,0.0032
17,6.8,-1.6997,3.6873,0.0032
17,6.9,-1.6997,3.6872,0.0033
17,7,-1.6997,3.6871,0.0033
17,7.1,-1.6997,3.687,0.0034
17,7.2,-1.6997,3.6869,0.0034
17,7.3,-1.6997,3.6868,0.0034
17,7.4,-1.6997,3.6867,0.0035
17,7.5,-1.6997,3.6866,0.0035
17,7.6,-1.6997,3.6865,0.0036
17,7.7,-1.6997,3.6864,0.0036
17,7.8,-1.6997,3.6863,0.0037
17,7.9,-1.6997,3.6862,0.0037
17,8,-1.6997,3.6862,0.0038
17,8.1,-1.6997,3.6861,0.0038
17,8.2,-1.6997,3.6859,0.0039
17,8.3,-1.6997,3.6859,0.0039
17,8.4,-1.6997,3.6858,0.004
17,8.5,-1.6997,3.6857,0.004
17,8.6,-1.6997,3.6856,0.0041
17,8.7,-1.6997,3.6855,0.0041
17,8.8,-1.6997,3.6854,0.0042
17,8.9,-1.6997,3.6854,0.0042
17,9,-1.6997,3.6853,0.0042
17,9.1,-1.6997,3.6852,0.0043
17,9.2,-1.6997,3.6851,0.0043
17,9.3,-1.6997,3.685,0.0044
17,9.4,-1.6997,3.685,0.0044
17,9.5,-1.6997,3.6849,0.0045
17,9.6,-1.6997,3.6847,0.0045
