Step,Time,I,E,Q
204,0,3.3983,3.7711,0
204,0.1,3.3983,3.7711,0.0001
204,0.2,3.3985,3.7723,0.0002
204,0.3,3.3988,3.7729,0.0003
204,0.4,3.3991,3.774,0.0004
204,0.5,3.3992,3.7749,0.0005
204,0.6,3.3993,3.7756,0.0006
204,0.7,3.3993,3.7761,0.0007
204,0.8,3.3994,3.7767,0.0008
204,0.9,3.3994,3.7772,0.0008
204,1,3.3995,3.7777,0.0009
204,1.1,3.3995,3.7781,0.001
204,1.2,3.3995,3.7785,0.0011
204,1.3,3.3995,3.7789,0.0012
204,1.4,3.3995,3.7793,0.0013
204,1.5,3.3995,3.7796,0.0014
204,1.6,3.3996,3.78,0.0015
204,1.7,3.3996,3.7803,0.0016
204,1.8,3.3996,3.7806,0.0017
204,1.9,3.3996,3.7809,0.0018
204,2,3.3996,3.7812,0.0019
204,2.1,3.3996,3.7815,0.002
204,2.2,3.3996,3.7818,0.0021
204,2.3,3.3996,3.7821,0.0022
204,2.4,3.3996,3.7823,0.0023
204,2.5,3.3996,3.7826,0.0024
204,2.6,3.3996,3.7828,0.0025
204,2.7,3.3996,3.7831,0.0025
204,2.8,3.3996,3.7833,0.0026
204,2.9,3.3996,3.7836,0.0027
204,3,3.3997,3.7839,0.0028
204,3.1,3.3997,3.7841,0.0029
204,3.2,3.3997,3.7844,0.003
204,3.3,3.3997,3.7846,0.0031
204,3.4,3.3997,3.7848,0.0032
204,3.5,3.3997,3.785,0.0033
204,3.6,3.3997,3.7852,0.0034
204,3.7,3.3997,3.7855,0.0035
204,3.8,3.3997,3.7857,0.0036
204,3.9,3.3997,3.7858,0.0037
204,4,3.3997,3.786,0.0038
204,4.1,3.3997,3.7863,0.0039
204,4.2,3.3997,3.7865,0.004
204,4.3,3.3997,3.7867,0.0041
204,4.4,3.3997,3.7869,0.0042
204,4.5,3.3997,3.7871,0.0042
204,4.6,3.3997,3.7873,0.0043
204,4.7,3.3997,3.7875,0.0044
204,4.8,3.3997,3.7877,0.0045
204,4.9,3.3997,3.7878,0.0046
204,5,3.3998,3.7881,0.0047
204,5.1,3.3998,3.7882,0.0048
204,5.2,3.3998,3.7884,0.0049
204,5.3,3.3998,3.7886,0.005
204,5.4,3.3998,3.7888,0.0051
204,5.5,3.3998,3.789,0.0052
204,5.6,3.3998,3.7891,0.0053
204,5.7,3.3998,3.7893,0.0054
204,5.8,3.3998,3.7895,0.0055
204,5.9,3.3998,3.7897,0.0056
204,6,3.3998,3.7898,0.0057
204,6.1,3.3998,3.79,0.0058
204,6.2,3.3998,3.7902,0.0059
204,6.3,3.3998,3.7903,0.0059
204,6.4,3.3998,3.7905,0.006
204,6.5,3.3998,3.7906,0.0061
204,6.6,3.3998,3.7908,0.0062
204,6.7,3.3998,3.791,0.0063
204,6.8,3.3998,3.7911,0.0064
204,6.9,3.3998,3.7913,0.0065
204,7,3.3998,3.7915,0.0066
204,7.1,3.3998,3.7916,0.0067
204,7.2,3.3998,3.7918,0.0068
204,7.3,3.3998,3.7919,0.0069
204,7.4,3.3998,3.7921,0.007
204,7.5,3.3998,3.7922,0.0071
204,7.6,3.3998,3.7923,0.0072
204,7.7,3.3998,3.7925,0.0073
204,7.8,3.3998,3.7926,0.0074
204,7.9,3.3998,3.7928,0.0075
204,8,3.3998,3.7929,0.0076
204,8.1,3.3998,3.793,0.0076
204,8.2,3.3998,3.7932,0.0077
204,8.3,3.3998,3.7933,0.0078
204,8.4,3.3998,3.7935,0.0079
204,8.5,3.3998,3.7937,0.008
204,8.6,3.3998,3.7937,0.0081
204,8.7,3.3998,3.7939,0.0082
204,8.8,3.3998,3.794,0.0083
204,8.9,3.3998,3.7941,0.0084
204,9,3.3998,3.7943,0.0085
204,9.1,3.3998,3.7944,0.0086
204,9.2,3.3998,3.7946,0.0087
204,9.3,3.3998,3.7947,0.0088
204,9.4,3.3998,3.7948,0.0089
204,9.5,3.3998,3.795,0.009
204,9.6,3.3998,3.7951,0.0091
204,9.7,3.3998,3.7952,0.0092
204,9.8,3.3998,3.7954,0.0093
204,9.9,3.3998,3.7955,0.0093
204,10,3.3998,3.7956,0.0094
204,10.1,3.3998,3.7958,0.0095
204,10.2,3.3998,3.7959,0.0096
204,10.3,3.3998,3.796,0.0097
204,10.4,3.3998,3.7961,0.0098
204,10.5,3.3998,3.7963,0.0099
204,10.6,3.3998,3.7964,0.01
204,10.7,3.3998,3.7965,0.0101
204,10.8,3.3998,3.7966,0.0102
204,10.9,3.3998,3.7968,0.0103
204,11,3.3998,3.7969,0.0104
204,11.1,3.3998,3.797,0.0105
204,11.2,3.3998,3.7971,0.0106
204,11.3,3.3998,3.7972,0.0107
204,11.4,3.3998,3.7973,0.0108
204,11.5,3.3998,3.7974,0.0109
204,11.6,3.3998,3.7976,0.011
204,11.7,3.3998,3.7977,0.011
204,11.8,3.3998,3.7978,0.0111
204,11.9,3.3998,3.7979,0.0112
204,12,3.3998,3.798,0.0113
204,12.1,3.3998,3.7981,0.0114
204,12.2,3.3998,3.7983,0.0115
204,12.3,3.3998,3.7983,0.0116
204,12.4,3.3998,3.7985,0.0117
204,12.5,3.3998,3.7986,0.0118
204,12.6,3.3998,3.7987,0.0119
204,12.7,3.3998,3.7988,0.012
204,12.8,3.3998,3.7989,0.0121
204,12.9,3.3998,3.799,0.0122
204,13,3.3998,3.7991,0.0123
204,13.1,3.3998,3.7993,0.0124
204,13.2,3.3998,3.7994,0.0125
204,13.3,3.3998,3.7995,0.0126
204,13.4,3.3998,3.7996,0.0127
204,13.5,3.3998,3.7997,0.0127
204,13.6,3.3998,3.7998,0.0128
204,13.7,3.3998,3.7999,0.0129
204,13.8,3.3998,3.8,0.013
204,13.9,3.3998,3.8001,0.0131
204,14,3.3998,3.8002,0.0132
204,14.1,3.3998,3.8003,0.0133
204,14.2,3.3998,3.8004,0.0134
204,14.3,3.3998,3.8005,0.0135
204,14.4,3.3998,3.8006,0.0136
204,14.5,3.3998,3.8007,0.0137
204,14.6,3.3998,3.8008,0.0138
204,14.7,3.3998,3.8009,0.0139
204,14.8,3.3998,3.801,0.014
204,14.9,3.3998,3.8011,0.0141
204,15,3.3998,3.8012,0.0142
204,15.1,3.3998,3.8013,0.0143
204,15.2,3.3998,3.8014,0.0144
204,15.3,3.3998,3.8015,0.0144
204,15.4,3.3998,3.8016,0.0145
204,15.5,3.3998,3.8017,0.0146
204,15.6,3.3998,3.8018,0.0147
204,15.7,3.3998,3.8019,0.0148
204,15.8,3.3998,3.802,0.0149
204,15.9,3.3998,3.8021,0.015
204,16,3.3998,3.8022,0.0151
204,16.1,3.3998,3.8023,0.0152
204,16.2,3.3998,3.8024,0.0153
204,16.3,3.3998,3.8025,0.0154
204,16.4,3.3998,3.8026,0.0155
204,16.5,3.3998,3.8027,0.0156
204,16.6,3.3998,3.8028,0.0157
204,16.7,3.3998,3.8029,0.0158
204,16.8,3.3998,3.803,0.0159
204,16.9,3.3998,3.803,0.016
204,17,3.3998,3.8031,0.0161
204,17.1,3.3998,3.8032,0.0161
204,17.2,3.3998,3.8032,0.0162
204,17.3,3.3998,3.8034,0.0163
204,17.4,3.3998,3.8035,0.0164
204,17.5,3.3998,3.8036,0.0165
204,17.6,3.3998,3.8037,0.0166
204,17.7,3.3998,3.8037,0.0167
204,17.8,3.3998,3.8038,0.0168
204,17.9,3.3998,3.8039,0.0169
204,18,3.3998,3.804,0.017
204,18.1,3.3998,3.8041,0.0171
204,18.2,3.3998,3.8042,0.0172
204,18.3,3.3998,3.8043,0.0173
204,18.4,3.3998,3.8044,0.0174
