I,R0,R1,R2,Udrop,Ufin,Uinit,cellcap,dSoC,dltQ,name,nominal_soc,tau1,tau2,tau_pls,table_file
-1.69962444444444,0.0347444217570892,0.00421096394052635,0.0216070074777077,0.0575999999999999,3.6642,3.6656,3.36,-0.00126460152116402,-15.29662,soc45_05Cdch_9sec,0.45,6.65377885424234,80.9397957355479,9,soc45_05Cdch_9sec.csv
-1.69961472222222,0.0371144465869984,0.0103951896810893,0.0255931709262065,0.0595999999999997,3.6627,3.6653,3.36,-0.00252918857473545,-30.593065,soc45_05Cdch_18sec,0.45,22.9726637160361,214.625896166035,18,soc45_05Cdch_18sec.csv
-1.69967013888889,0.0375881199727274,0.0120786922681416,0.0277101500071,0.0596999999999999,3.6611,3.6656,3.36,-0.00505854208002646,-61.188125,soc45_05Cdch_36sec,0.45,29.6557109944031,274.898736201637,36,soc45_05Cdch_36sec.csv
-1.69971173611111,0.0374507575724474,0.012776470850549,0.0225660240724609,0.0596000000000001,3.6576,3.6661,3.36,-0.0101173317625661,-122.379245,soc45_05Cdch_72sec,0.45,33.4451512659965,279.975278238695,72,soc45_05Cdch_72sec.csv
-1.69972673611111,0.0377975722569942,0.0152243740630058,0.0179358616241145,0.0598999999999998,3.651,3.6666,3.36,-0.0202348420965608,-244.76065,soc45_05Cdch_144sec,0.45,45.6763827272711,378.14410156581,144,soc45_05Cdch_144sec.csv
-3.39954611111111,0.0359442512254746,0.00302372352757671,0.0129107245354477,0.12,3.6648,3.6674,3.36,-0.00252942418981482,-30.595915,soc45_1Cdch_9sec,0.45,3.32351064122436,47.9889455095733,9,soc45_1Cdch_9sec.csv
-3.39958027777778,0.0373828052317054,0.0059276799458107,0.0118337545495038,0.1212,3.6624,3.6675,3.36,-0.0050588992228836,-61.192445,soc45_1Cdch_18sec,0.45,12.2580559275331,92.5922077001546,18,soc45_1Cdch_18sec.csv
-3.39961819444444,0.0372382214712932,0.00833361594781181,0.0102666707310964,0.1197,3.6585,3.6676,3.36,-0.0101179112929894,-122.386255,soc45_1Cdch_36sec,0.45,19.5377050794578,139.308876284943,36,soc45_1Cdch_36sec.csv
-3.39962229166667,0.0377136181085086,0.0109326416894877,0.0130637279512689,0.1205,3.6509,3.6677,3.36,-0.0202358469742064,-244.772805,soc45_1Cdch_72sec,0.45,30.1539801932228,228.816278368957,72,soc45_1Cdch_72sec.csv
-6.79891888888889,0.0360316751211653,0.00296044918560013,0.0116970903248878,0.2407,3.6626,3.6674,3.36,-0.00505871941137566,-61.19027,soc45_2Cdch_9sec,0.45,3.05911432785072,43.5709858379013,9,soc45_2Cdch_9sec.csv
-6.79901666666667,0.0372053919076141,0.00612975251757136,0.01116984880096,0.2416,3.6587,3.6676,3.36,-0.0101175843253968,-122.3823,soc45_2Cdch_18sec,0.45,12.6153558119924,96.4112960474241,18,soc45_2Cdch_18sec.csv
-10.1986966666667,0.0361597750005171,0.00324219476286649,0.0124327077205725,0.3614,3.6606,3.6676,3.36,-0.00758831597222222,-91.78827,soc45_3Cdch_9sec,0.45,3.6360259159141,49.7252646052026,9,soc45_3Cdch_9sec.csv
1.699665,0.0361018522534255,0.0089571007589937,0.0282825572339882,-0.0587999999999997,3.6653,3.6642,3.36,0.00126463169642857,15.296985,soc45_05Cchr_9sec,0.45,16.6561519818646,225.160541649553,9,soc45_05Cchr_9sec.csv
1.69976027777778,0.0368416109259302,0.00535808281935699,0.018639053603987,-0.0602,3.6656,3.6627,3.36,0.00252940517526455,30.595685,soc45_05Cchr_18sec,0.45,10.5227671051847,88.3580133444326,18,soc45_05Cchr_18sec.csv
1.69983708333333,0.037244135343759,0.00899746943148698,0.015699641825574,-0.0595000000000003,3.6661,3.6611,3.36,0.00505903893849206,61.194135,soc45_05Cchr_36sec,0.45,21.6430547553883,172.952213607625,36,soc45_05Cchr_36sec.csv
1.69982902777778,0.0375875093437485,0.0100534763757616,0.0116578072543578,-0.0596999999999999,3.6666,3.6576,3.36,0.0101180299272487,122.38769,soc45_05Cchr_72sec,0.45,23.8550566626237,205.606421087376,72,soc45_05Cchr_72sec.csv
1.69982586805556,0.0374099021457248,0.0108591316574898,0.00841591519353791,-0.0598000000000001,3.6674,3.651,3.36,0.0202360222387566,244.774925,soc45_05Cchr_144sec,0.45,23.7213664387491,196.04751952098,144,soc45_05Cchr_144sec.csv
3.39960388888889,0.036450733502465,0.00501766762641839,0.0167016557525757,-0.1199,3.6675,3.6648,3.36,0.0025294671792328,30.596435,soc45_1Cchr_9sec,0.45,8.66936460511034,92.9152572576884,9,soc45_1Cchr_9sec.csv
3.39971694444444,0.0371319780092956,0.00681931446201714,0.0129216792636009,-0.1203,3.6676,3.6624,3.36,0.00505910259589947,61.194905,soc45_1Cchr_18sec,0.45,15.5134854905405,116.890812987313,18,soc45_1Cchr_18sec.csv
3.39976388888889,0.037408330561207,0.00841783931026582,0.00988455598632731,-0.1201,3.6677,3.6585,3.36,0.0101183449074074,122.3915,soc45_1Cchr_36sec,0.45,21.3742469723452,153.13846816114,36,soc45_1Cchr_36sec.csv
3.39977340277778,0.0376347038090952,0.00959994910916039,0.00834967853038828,-0.1202,3.6674,3.6509,3.36,0.0202367464451058,244.783685,soc45_1Cchr_72sec,0.45,24.5852872904942,179.546660388412,72,soc45_1Cchr_72sec.csv
6.79919444444444,0.0365593206070825,0.00453954726125702,0.0149767843722608,-0.2408,3.6676,3.6626,3.36,0.00505892443783069,61.19275,soc45_2Cchr_9sec,0.45,8.2224450920076,84.1128606954144,9,soc45_2Cchr_9sec.csv
6.79937972222222,0.0370797007620894,0.00764165520343525,0.0114249752227422,-0.2405,3.6676,3.6587,3.36,0.0101181245866402,122.388835,soc45_2Cchr_18sec,0.45,18.2255783888415,151.017162667641,18,soc45_2Cchr_18sec.csv
10.1990088888889,0.0363547332559327,0.00371366006142235,0.0136833923320563,-0.3616,3.6678,3.6606,3.36,0.00758854828042328,91.79108,soc45_3Cchr_9sec,0.45,6.05312004303112,66.0880392255844,9,soc45_3Cchr_9sec.csv
-1.69965777777778,0.0349482451523977,0.00974484010705459,0.028263919120105,0.0568999999999997,3.7054,3.7068,3.36,-0.00126462632275132,-15.29692,soc50_05Cdch_9sec,0.5,18.0943053575967,225.413489160526,9,soc50_05Cdch_9sec.csv
-1.69965805555556,0.0355448250834338,0.0112370007405561,0.0225453095865392,0.0571999999999999,3.7041,3.707,3.36,-0.00252925305886243,-30.593845,soc50_05Cdch_18sec,0.5,24.1434537092555,255.82751432543,18,soc50_05Cdch_18sec.csv
-1.69975430555556,0.035890119278994,0.0124930430985977,0.0194889679190941,0.0570999999999997,3.7018,3.7074,3.36,-0.0050587925760582,-61.191155,soc50_05Cdch_36sec,0.5,29.9540244996604,301.376960425239,36,soc50_05Cdch_36sec.csv
-1.699790625,0.0359347234385992,0.0134367209116931,0.0145589196902842,0.0571000000000002,3.6972,3.7077,3.36,-0.0101178013392857,-122.384925,soc50_05Cdch_72sec,0.5,34.817191940082,320.264405730469,72,soc50_05Cdch_72sec.csv
-1.69972111111111,0.0364465565670829,0.0142491179875284,0.0100775022494464,0.0577000000000001,3.6879,3.7081,3.36,-0.0202347751322751,-244.75984,soc50_05Cdch_144sec,0.5,42.5452202751557,318.214976441589,144,soc50_05Cdch_144sec.csv
-3.39959277777778,0.0348181961356014,0.00281362079712187,0.0125269223066751,0.1168,3.7052,3.7086,3.36,-0.00252945891203704,-30.596335,soc50_1Cdch_9sec,0.5,2.78123364857507,42.4085545400341,9,soc50_1Cdch_9sec.csv
