I,R0,R1,R2,Udrop,Ufin,Uinit,cellcap,dSoC,dltQ,name,nominal_soc,tau1,tau2,tau_pls,table_file
-1.69962444444444,0.0359219439687271,0.0216801995393302,0.00250289932398651,0.0575999999999999,3.6642,3.6656,3.36,-0.00126460152116402,-15.29662,soc45_05Cdch_9sec,0.45,49.0069810979135,100,9,soc45_05Cdch_9sec.csv
-1.69961472222222,0.0382667171417044,0.0267027724398041,0.00427475990331499,0.0595999999999997,3.6627,3.6653,3.36,-0.00252918857473545,-30.593065,soc45_05Cdch_18sec,0.45,71.9787377973945,100,18,soc45_05Cdch_18sec.csv
-1.69967013888889,0.0395730137939349,0.0297648222693077,0.00688082885752498,0.0596999999999999,3.6611,3.6656,3.36,-0.00505854208002646,-61.188125,soc45_05Cdch_36sec,0.45,98.4423332596274,100,36,soc45_05Cdch_36sec.csv
-1.69971173611111,0.0404189680725536,0.0268454270931145,0.00954855087806977,0.0596000000000001,3.6576,3.6661,3.36,-0.0101173317625661,-122.379245,soc45_05Cdch_72sec,0.45,108.447778298336,100,72,soc45_05Cdch_72sec.csv
-1.69972673611111,0.0413867670141306,0.0244696283513385,0.0124940729302495,0.0598999999999998,3.651,3.6666,3.36,-0.0202348420965608,-244.76065,soc45_05Cdch_144sec,0.45,123.354519609005,100,144,soc45_05Cdch_144sec.csv
-3.39954611111111,0.0373101049061114,0.0130691410615198,0.00187043297610699,0.12,3.6648,3.6674,3.36,-0.00252942418981482,-30.595915,soc45_1Cdch_9sec,0.45,30.6070253402178,100,9,soc45_1Cdch_9sec.csv
-3.39958027777778,0.0383823904118157,0.0139668969442785,0.00298691053449146,0.1212,3.6624,3.6675,3.36,-0.0050588992228836,-61.192445,soc45_1Cdch_18sec,0.45,37.1713041593945,100,18,soc45_1Cdch_18sec.csv
-3.39961819444444,0.0384512004322312,0.0144167642365272,0.00440733837452768,0.1197,3.6585,3.6676,3.36,-0.0101179112929894,-122.386255,soc45_1Cdch_36sec,0.45,44.5168274213845,100,36,soc45_1Cdch_36sec.csv
-3.39962229166667,0.0397459313620136,0.0182473920684446,0.0074088752541243,0.1205,3.6509,3.6677,3.36,-0.0202358469742064,-244.772805,soc45_1Cdch_72sec,0.45,73.7694404896793,100,72,soc45_1Cdch_72sec.csv
-6.79891888888889,0.0374119597727862,0.0119233394590803,0.00178822017706687,0.2407,3.6626,3.6674,3.36,-0.00505871941137566,-61.19027,soc45_2Cdch_9sec,0.45,27.6112877908487,100,9,soc45_2Cdch_9sec.csv
-6.79901666666667,0.0381605263480608,0.0134449001293429,0.00295388509183262,0.2416,3.6587,3.6676,3.36,-0.0101175843253968,-122.3823,soc45_2Cdch_18sec,0.45,35.6544923848668,100,18,soc45_2Cdch_18sec.csv
-10.1986966666667,0.0375037774819131,0.012607143128629,0.00186202965275812,0.3614,3.6606,3.6676,3.36,-0.00758831597222222,-91.78827,soc45_3Cdch_9sec,0.45,29.3124106887043,100,9,soc45_3Cdch_9sec.csv
1.699665,0.0369213756693811,0.0245114272777165,0.00252584512574298,-0.0587999999999997,3.6653,3.6642,3.36,0.00126463169642857,15.296985,soc45_05Cchr_9sec,0.45,59.2056242878972,100,9,soc45_05Cchr_9sec.csv
1.69976027777778,0.0382441436026614,0.0200534654193872,0.00379103225885171,-0.0602,3.6656,3.6627,3.36,0.00252940517526455,30.595685,soc45_05Cchr_18sec,0.45,50.9715234282385,100,18,soc45_05Cchr_18sec.csv
1.69983708333333,0.0388223156053095,0.0188466412757238,0.00523754568858708,-0.0595000000000003,3.6661,3.6611,3.36,0.00505903893849206,61.194135,soc45_05Cchr_36sec,0.45,61.8560714866644,100,36,soc45_05Cchr_36sec.csv
1.69982902777778,0.0399216417728202,0.0159280334813536,0.00648902169210484,-0.0596999999999999,3.6666,3.6576,3.36,0.0101180299272487,122.38769,soc45_05Cchr_72sec,0.45,63.9292633556599,100,72,soc45_05Cchr_72sec.csv
1.69982586805556,0.0405103102532451,0.0141114090496759,0.00796119491481555,-0.0598000000000001,3.6674,3.651,3.36,0.0202360222387566,244.774925,soc45_05Cchr_144sec,0.45,65.1680829496366,100,144,soc45_05Cchr_144sec.csv
3.39960388888889,0.0373586763393071,0.0167071133337574,0.00214691332682364,-0.1199,3.6675,3.6648,3.36,0.0025294671792328,30.596435,soc45_1Cchr_9sec,0.45,39.5284017221161,100,9,soc45_1Cchr_9sec.csv
3.39971694444444,0.0380134688426608,0.0153506986531925,0.00316465845770582,-0.1203,3.6676,3.6624,3.36,0.00505910259589947,61.194905,soc45_1Cchr_18sec,0.45,42.3564875588091,100,18,soc45_1Cchr_18sec.csv
3.39976388888889,0.0384759834216525,0.0141507768689206,0.00436608734558918,-0.1201,3.6677,3.6585,3.36,0.0101183449074074,122.3915,soc45_1Cchr_36sec,0.45,45.7650796615136,100,36,soc45_1Cchr_36sec.csv
3.39977340277778,0.039261630393221,0.0138032530992782,0.00616310271082389,-0.1202,3.6674,3.6509,3.36,0.0202367464451058,244.783685,soc45_1Cchr_72sec,0.45,51.8814597176048,100,72,soc45_1Cchr_72sec.csv
6.79919444444444,0.0374126943321863,0.0152497197480319,0.00206110146331286,-0.2408,3.6676,3.6626,3.36,0.00505892443783069,61.19275,soc45_2Cchr_9sec,0.45,37.3879624964037,100,9,soc45_2Cchr_9sec.csv
6.79937972222222,0.0377794742217362,0.0141543988331888,0.00306756633915369,-0.2405,3.6676,3.6587,3.36,0.0101181245866402,122.388835,soc45_2Cchr_18sec,0.45,40.2923179377988,100,18,soc45_2Cchr_18sec.csv
10.1990088888889,0.0373289270739614,0.0139416800314302,0.0020149096000452,-0.3616,3.6678,3.6606,3.36,0.00758854828042328,91.79108,soc45_3Cchr_9sec,0.45,33.993928432347,100,9,soc45_3Cchr_9sec.csv
-1.69965777777778,0.0357040023734316,0.025248775853738,0.00258496336275979,0.0568999999999997,3.7054,3.7068,3.36,-0.00126462632275132,-15.29692,soc50_05Cdch_9sec,0.5,58.0318202308402,100,9,soc50_05Cdch_9sec.csv
-1.69965805555556,0.0365096488060118,0.0230479174815711,0.00393209281858219,0.0571999999999999,3.7041,3.707,3.36,-0.00252925305886243,-30.593845,soc50_05Cdch_18sec,0.5,60.278379508962,100,18,soc50_05Cdch_18sec.csv
-1.69975430555556,0.0373058097876749,0.02218579050433,0.00593589013709159,0.0570999999999997,3.7018,3.7074,3.36,-0.0050587925760582,-61.191155,soc50_05Cdch_36sec,0.5,68.5778600333288,100,36,soc50_05Cdch_36sec.csv
-1.699790625,0.0378927117032357,0.0201723637136696,0.00786739948746942,0.0571000000000002,3.6972,3.7077,3.36,-0.0101178013392857,-122.384925,soc50_05Cdch_72sec,0.5,73.3567078823815,100,72,soc50_05Cdch_72sec.csv
-1.69972111111111,0.0386745831569357,0.0187575544856269,0.0100636362392903,0.0577000000000001,3.6879,3.7081,3.36,-0.0202347751322751,-244.75984,soc50_05Cdch_144sec,0.5,81.9449526449462,100,144,soc50_05Cdch_144sec.csv
-3.39959277777778,0.0362461351680621,0.012749483922236,0.00185308901512213,0.1168,3.7052,3.7086,3.36,-0.00252945891203704,-30.596335,soc50_1Cdch_9sec,0.5,29.1246708170764,100,9,soc50_1Cdch_9sec.csv
-3.399545,0.0369378829768656,0.0128502207169498,0.00283458500843688,0.117,3.7022,3.7086,3.36,-0.00505884672619048,-61.19181,soc50_1Cdch_18sec,0.5,34.2504404007734,100,18,soc50_1Cdch_18sec.csv
-3.39964680555556,0.0378926553342437,0.0132718924820507,0.00417762916936845,0.1182,3.6968,3.7083,3.36,-0.0101179964451058,-122.387285,soc50_1Cdch_36sec,0.5,39.5879606663783,100,36,soc50_1Cdch_36sec.csv
-3.39965090277778,0.0388014601858473,0.0151218555492576,0.00643488569899065,0.1192,3.6873,3.7082,3.36,-0.0202360172784391,-244.774865,soc50_1Cdch_72sec,0.5,54.4846705600623,100,72,soc50_1Cdch_72sec.csv
-6.79889666666667,0.0370113835002153,0.0124462557482575,0.00182227720146612,0.238,3.7021,3.7081,3.36,-0.00505870287698413,-61.19007,soc50_2Cdch_9sec,0.5,28.9703233150326,100,9,soc50_2Cdch_9sec.csv
-6.79900833333333,0.0370622316269282,0.0123081319716879,0.00276975717339743,0.2358,3.6972,3.7085,3.36,-0.0101175719246032,-122.38215,soc50_2Cdch_18sec,0.5,32.8172594553785,100,18,soc50_2Cdch_18sec.csv
-10.1989566666667,0.0368595631362727,0.0123762772668431,0.00183370129500583,0.3555,3.6997,3.7085,3.36,-0.00758850942460317,-91.79061,soc50_3Cdch_9sec,0.5,28.8601196055606,100,9,soc50_3Cdch_9sec.csv
1.69977833333333,0.0356104131865607,0.0180105118647603,0.00225987786311312,-0.0571000000000002,3.707,3.7054,3.36,0.0012647160218254,15.298005,soc50_05Cchr_9sec,0.5,39.3915669972436,100,9,soc50_05Cchr_9sec.csv
1.69977666666667,0.0361925210043557,0.0162988508222875,0.00325576878116727,-0.0571999999999999,3.7074,3.7041,3.36,0.00252942956349206,30.59598,soc50_05Cchr_18sec,0.5,40.8620305255993,100,18,soc50_05Cchr_18sec.csv
1.69982291666667,0.0369053206049283,0.0146125044209419,0.00448207897290498,-0.0571999999999999,3.7077,3.7018,3.36,0.00505899677579365,61.193625,soc50_05Cchr_36sec,0.5,44.7247961421336,100,36,soc50_05Cchr_36sec.csv
1.69985868055556,0.037644398679952,0.0132528424661926,0.00569405488660838,-0.0569999999999999,3.7081,3.6972,3.36,0.0101182064318783,122.389825,soc50_05Cchr_72sec,0.5,49.8673196082775,100,72,soc50_05Cchr_72sec.csv
1.69984513888889,0.0387063730371621,0.0128967803452333,0.00709737461404077,-0.0581,3.7086,3.6879,3.36,0.0202362516534392,244.7777,soc50_05Cchr_144sec,0.5,53.2556426894171,100,144,soc50_05Cchr_144sec.csv
3.39970611111111,0.0363826921737342,0.0154627123685681,0.00206919328890986,-0.1167,3.7086,3.7052,3.36,0.00252954323743386,30.597355,soc50_1Cchr_9sec,0.5,34.9299650648579,100,9,soc50_1Cchr_9sec.csv
3.39972472222222,0.0370525946403322,0.0153264532711345,0.00320762220408601,-0.1172,3.7083,3.7022,3.36,0.00505911416997354,61.195045,soc50_1Cchr_18sec,0.5,41.8741636058314,100,18,soc50_1Cchr_18sec.csv
3.39974416666667,0.0378730824371664,0.0140066969879156,0.00442176742206552,-0.1182,3.7082,3.6968,3.36,0.0101182862103175,122.39079,soc50_1Cchr_36sec,0.5,43.5317102263862,100,36,soc50_1Cchr_36sec.csv
3.39980041666667,0.0385104141524075,0.0133651424970682,0.00598334572390057,-0.1184,3.7081,3.6873,3.36,0.0202369072420635,244.78563,soc50_1Cchr_72sec,0.5,46.3274914645342,100,72,soc50_1Cchr_72sec.csv
6.79931444444444,0.0368816942995068,0.0142862103037139,0.00204898794592666,-0.2376,3.7085,3.7021,3.36,0.00505901372354497,61.19383,soc50_2Cchr_9sec,0.5,32.5139784027029,100,9,soc50_2Cchr_9sec.csv
